title,artist,duration_seconds,youtube_id,genres
Worth It,Fifth Harmony,231,YBHQbu5rbdQ,pop
Rich Girl,Gwen Stefani,202,d9rU1dwVGJw,pop
Hero,Enrique Iglesias,244,koJlIGDImiU,pop
Jailhouse Rock,Elvis Presley,147,gj0Rz-uP4Mk,rock
Hound Dog,Elvis Presley,136,-eHJ12Vhpyc,rock
Hit the Road Jack,Ray Charles,125,SrnWp5O0DEs,rock
What's up,4 Non Blondes,269,87rhZTumujw,rock
Zombie,The Cranberries,306,lRrC_d6dRZw,rock
Careless Whisper,George Michael,300,JqIHlDVqUTw,rock
Billie Jean,Michael Jackson,295,Kr4EQDVETuA,pop
YMCA,The Village People,221,gj2LOqSugfw,rock
Superstition,Stevie Wonder,251,ftdZ363R9kQ,rock
Satisfaction,The Rolling Stones,222,nrIPxlFzDi0,rock
The House of the Rising Sun,The Animals,268,PqW4GCmQSt4,rock
